Note regarding coverage and payment indicators for codes in CMS’ 2020 HCPCS Update and DMEPOS Fee Schedule Files

If specific Medicare coverage or payment indicators or values have not been established for any new HCPCS codes, this may be because a n






  HCPC/MOD         ACTION CD       SHORT DESCRIPTION              LONG DESCRIPTION
   L8628           No Change       Cid ext controller repl        Cochlear implant, external controller component, replacement
   L8629           No Change       Cid transmit coil and cable    Transmitting coil and cable, integrated, for use with cochlear implant
   L8630           No Change       Metacarpophalangeal implant    Metacarpophalangeal joint implant
   L8631           No Change       Mcp joint repl 2 pc or more    Metacarpal phalangeal joint replacement, two or more pieces, metal (e.
   L8641           No Change       Metatarsal joint implant       Metatarsal joint implant
   L8642           No Change       Hallux implant                 Hallux implant
   L8658           No Change       Interphalangeal joint spacer   Interphalangeal joint spacer, silicone or equal, each
   L8659           No Change       Interphalangeal joint repl     Interphalangeal finger joint replacement, 2 or more pieces, metal (e.g
   L8670           No Change       Vascular graft, synthetic      Vascular graft material, synthetic, implant
   L8679           No Change       Imp neurosti pls gn any type   Implantable neurostimulator, pulse generator, any type
   L8680           No Change       Implt neurostim elctr each     Implantable neurostimulator electrode, each
   L8681           No Change       Pt prgrm for implt neurostim   Patient programmer (external) for use with implantable programmable ne
   L8682           No Change       Implt neurostim radiofq rec    Implantable neurostimulator radiofrequency receiver
   L8683           No Change       Radiofq trsmtr for implt neu   Radiofrequency transmitter (external) for use with implantable neurost
   L8684           No Change       Radiof trsmtr implt scrl neu   Radiofrequency transmitter (external) for use with implantable sacral
   L8685           No Change       Implt nrostm pls gen sng rec   Implantable neurostimulator pulse generator, single array, rechargeabl
   L8686           No Change       Implt nrostm pls gen sng non   Implantable neurostimulator pulse generator, single array, non-recharg
   L8687           No Change       Implt nrostm pls gen dua rec   Implantable neurostimulator pulse generator, dual array, rechargeable,
   L8688           No Change       Implt nrostm pls gen dua non   Implantable neurostimulator pulse generator, dual array, non-rechargea
   L8689           No Change       External recharg sys intern    External recharging system for battery (internal) for use with implant
   L8690           No Change       Aud osseo dev, int/ext comp    Auditory osseointegrated device, includes all internal and external co
   L8691           No Change       Aoi snd proc repl excl actua   Auditory osseointegrated device, external sound processor, excludes tr
   L8692           No Change       Non-osseointegrated snd proc   Auditory osseointegrated device, external sound processor, used withou
   L8693           No Change       Aud osseo dev, abutment        Auditory osseointegrated device abutment, any length, replacement only
   L8694           No Change       Aoi transducer/actuator repl   Auditory osseointegrated device, transducer/actuator, replacement only
   L8695           No Change       External recharg sys extern    External recharging system for battery (external) for use with implant
   L8696           No Change       Ext antenna phren nerve stim   Antenna (external) for use with implantable diaphragmatic/phrenic nerv
   L8698           No Change       Misc used with tot art heart   Miscellaneous component, supply or accessory for use with total artifi
   L8699           No Change       Prosthetic implant nos         Prosthetic implant, not otherwise specified
   L8701           No Change       Pow ue rom dev ewh uprt cust   Powered upper extremity range of motion assist device, elbow, wrist, h
   L8702           No Change       Pow ue rom dev ewhf uprt cus   Powered upper extremity range of motion assist device, elbow, wrist, h
   L9900           No Change       O&p supply/accessory/service   Orthotic and prosthetic supply, accessory, and/or service component of
   M0064           No Change       Visit for drug monitoring      Brief office visit for the sole purpose of monitoring or changing drug
   M0075           No Change       Cellular therapy               Cellular therapy
   M0076           No Change       Prolotherapy                   Prolotherapy
   M0100           No Change       Intragastric hypothermia       Intragastric hypothermia using gastric freezing
   M0300           No Change       Iv chelationtherapy            Iv chelation therapy (chemical endarterectomy)
   M0301           No Change       Fabric wrapping of aneurysm    Fabric wrapping of abdominal aneurysm
   M1000         Discontinued      Pain scr as mod to sevr        Pain screened as moderate to severe
   M1001         Discontinued      Pln to adrs pain doc           Plan of care to address moderate to severe pain documented on or befor
   M1002         Discontinued      Pln to adrs pain not doc       Plan of care for moderate to severe pain not documented on or before t
   M1003           No Change       Tb scr 12 mo pri fst bio dz    Tb screening performed and results interpreted within twelve months pr
   M1004           No Change       Doc med rsn no srn tb          Documentation of medical reason for not screening for tb or interpreti
   M1005           No Change       Tb scr no perf                 Tb screening not performed or results not interpreted, reason not give
   M1006           No Change       Dz not ases, no rsn            Disease activity not assessed, reason not given
   M1007           No Change       >=50% total pt outpt ra enct   >=50% of total number of a patient's outpatient ra encounters assessed
   M1008           No Change       <50% total pt outpt ra encts   <50% of total number of a patient's outpatient ra encounters assessed
   M1009    Long Description ChangeDc eoc doc med rec             Discharge/discontinuation of the episode of care documented in the med
